날짜,평균기온,평균강수량,평균일조시간,평균습도,평균순간최대풍속
20231231,2.1,4.7,0.6,95.5,8.3
20231230,0.6,13.1,0,92,6.9
20231229,1.3,0,1.8,71,5.7
20231228,1.2,0,8.1,69.5,8
20231227,1.5,0,8.2,76.6,4.7
20231226,1.9,0,7.5,72.9,9.4
20231225,-0.7,0.7,1.7,80.8,6.1
20231224,-2.2,1.1,6.9,73.4,4.6
20231223,-6.8,0,8.9,53.4,4.1
20231222,-11.6,0,9.1,51.8,8.2
20231221,-11.7,0,9,57.4,9
20231220,-7.4,0.8,6,64.1,9
20231219,-3.7,0.3,0.8,63.1,6
20231218,-7.7,0,4.1,45.1,7.7
20231217,-9.8,0,9,48.9,10.2
20231216,-4.1,1.5,4.6,68.9,17.9
20231215,4.9,31.1,0,95.4,11.9
20231214,7.6,17,0,85.8,11.7
20231213,6.8,0,2.3,74.1,7
20231212,5.4,0.4,3.5,75.6,13.3
20231211,8.9,11.4,0,82.9,0
20231210,11.4,0,0,67.9,0
20231209,13.7,0,0.8,82.9,7.3
20231208,11.2,0,5.3,73.4,13.5
20231207,6.6,0,6.7,64,12.6
20231206,6.1,3.8,0,76.1,9
20231205,6.8,0,6.8,55.4,5.9
20231204,2.7,0,8.2,59.5,4.3
20231203,0.8,0,9.1,56.3,5
20231202,2,0,4,60.8,11
20231201,-3.2,0,9.2,55.3,7.5
20231130,-4.3,0,9.2,48.5,8.3
20231129,-1.4,0,2.7,58.9,10.7
20231128,1.3,0,6.3,57.5,9.5
20231127,6.2,3.6,0.9,82.9,11
20231126,4,0,1.4,43.6,4.4
20231125,-1.3,0,9.1,42.8,6.4
20231124,-1.5,0,8.6,51.8,10.4
20231123,9.9,0.1,5,71.1,12.5
20231122,9.5,0,6.5,68.1,5.8
20231121,7.4,0,9.3,59.6,4.7
20231120,6.2,0,9.3,58.4,5.1
20231119,5.9,0,5.4,68.3,10
20231118,0.6,0,9.3,58.9,13.2
20231117,1.6,0,5,59.3,11.7
20231116,6.6,8.4,0,85,8.3
20231115,7,0,6.9,71.4,7.1
20231114,5,0,9.3,66.1,6.6
20231113,2,0,9.5,54,7.3
20231112,1.2,0,9.5,53.8,9.1
20231111,1.7,0,7,47.9,6.7
20231110,3.4,0,9,53.1,12.7
20231109,11.4,5.1,2.1,73.1,10.4
20231108,8.4,0,9.4,55.1,5.1
20231107,5.8,0,8.4,62.5,16.5
20231106,13.3,45.8,0.8,84.9,16.9
20231105,17.3,10.4,0,87,10.6
20231104,17.4,0,2.8,75.5,7.1
20231103,19.5,8.5,1.2,83.3,9
20231102,20.8,0,8,70.9,11
20231101,19,0,0,81.8,8
20231031,16.5,0,5.2,76,7.2
20231030,15.1,0,9.3,72,5.3
20231029,14.9,0,9.7,61.6,5.8
20231028,14.2,0,9.7,62.9,5
20231027,15.7,0,4.6,71.1,6.1
20231026,17.2,0,0.8,79.4,8.7
20231025,16.6,0,6,78.6,4.4
20231024,15.6,0,3.7,78.5,5.8
